# NTRAJ	100
0.000	0.00000000
0.018	12.12041230
0.037	7.41342187
0.055	5.20188478
0.073	3.24278628
0.092	2.44561341
0.110	2.04320535
0.129	1.46961569
0.147	0.96159674
0.165	0.48250001
0.184	0.22922321
0.202	0.13171848
0.220	0.10478927
0.239	0.10099197
0.257	0.10034797
0.276	0.09798576
0.294	0.09621480
0.312	0.09309390
0.331	0.09358778
0.349	0.09459844
0.367	0.09467095
0.386	0.09510840
0.404	0.09501070
0.422	0.09340916
0.441	0.09319353
0.459	0.09471273
0.478	0.09328217
0.496	0.09062096
0.514	0.08962647
0.533	0.08873628
0.551	0.08611400
0.569	0.08317280
0.588	0.08215036
0.606	0.08212049
0.624	0.07386502
0.643	0.07153939
0.661	0.06651306
0.680	0.06442435
0.698	0.06467751
0.716	0.06099433
0.735	0.05704085
0.753	0.05368885
0.771	0.05206702
0.790	0.05075306
0.808	0.04867420
0.827	0.04783722
0.845	0.04431290
0.863	0.04226800
0.882	0.04209820
0.900	0.04181678
