# NTRAJ	100
0.000	0.00000000
0.031	9.53363032
0.061	4.62125413
0.092	2.81691251
0.122	1.91960334
0.153	1.06778126
0.184	0.49737723
0.214	0.14819968
0.245	0.12840913
0.276	0.11506003
0.306	0.11303571
0.337	0.11119447
0.367	0.11042859
0.398	0.10962867
0.429	0.11077975
0.459	0.10879290
0.490	0.11172544
0.520	0.11113215
0.551	0.10730550
0.582	0.10597525
0.612	0.10537091
0.643	0.10375390
0.673	0.10684071
0.704	0.10457914
0.735	0.09971649
0.765	0.09278356
0.796	0.08872458
0.827	0.08520751
0.857	0.08275026
0.888	0.07986636
0.918	0.07497359
0.949	0.06704293
0.980	0.05736487
1.010	0.02730616
1.041	0.02730616
1.071	0.02730616
1.102	0.02730616
1.133	0.02730616
1.163	0.02730616
1.194	0.02730616
1.224	0.02730616
1.255	0.02730616
1.286	0.02730616
1.316	0.02730616
1.347	0.02730616
1.378	0.02730616
1.408	0.02730616
1.439	0.02730616
1.469	0.02730616
1.500	0.02730616
